Mean charge as a function dwell time.
Temperature :      1.0 -  40000.0 eV
Density     : 1.00e+20m-3
   200     5  # Te values, dwell time

Source data:
acd : /home/adas/adas/adf11/acd96/acd96_ne.dat
scd : /home/adas/adas/adf11/scd96/scd96_ne.dat
plt : /home/adas/adas/adf11/plt96/plt96_ne.dat
prb : /home/adas/adas/adf11/prb96/prb96_ne.dat

Te[eV]
 7.064e+00 7.067e+00 7.065e+00 7.058e+00 7.049e+00 7.038e+00 7.027e+00 7.016e+00
 7.005e+00 6.996e+00 6.987e+00 6.977e+00 6.968e+00 6.959e+00 6.950e+00 6.940e+00
 6.931e+00 6.921e+00 6.910e+00 6.900e+00 6.890e+00 6.880e+00 6.869e+00 6.859e+00
 6.848e+00 6.838e+00 6.827e+00 6.817e+00 6.806e+00 6.796e+00 6.785e+00 6.775e+00
 6.764e+00 6.754e+00 6.743e+00 6.733e+00 6.722e+00 6.711e+00 6.701e+00 6.690e+00
<Z> for tau[ms]=    1.0
 3.718e-05 9.508e-05 2.315e-04 5.379e-04 1.195e-03 2.542e-03 5.188e-03 1.017e-02
 1.914e-02 3.461e-02 5.994e-02 9.911e-02 1.557e-01 2.315e-01 3.241e-01 4.273e-01
 5.318e-01 6.294e-01 7.149e-01 7.875e-01 8.492e-01 9.045e-01 9.586e-01 1.017e+00
 1.085e+00 1.164e+00 1.255e+00 1.354e+00 1.455e+00 1.551e+00 1.637e+00 1.711e+00
 1.773e+00 1.823e+00 1.865e+00 1.901e+00 1.935e+00 1.971e+00 2.013e+00 2.065e+00
 2.130e+00 2.211e+00 2.305e+00 2.409e+00 2.517e+00 2.626e+00 2.734e+00 2.841e+00
 2.950e+00 3.062e+00 3.176e+00 3.294e+00 3.413e+00 3.531e+00 3.650e+00 3.770e+00
 3.891e+00 4.014e+00 4.139e+00 4.264e+00 4.388e+00 4.510e+00 4.630e+00 4.750e+00
 4.869e+00 4.990e+00 5.116e+00 5.246e+00 5.383e+00 5.528e+00 5.678e+00 5.834e+00
 5.994e+00 6.154e+00 6.314e+00 6.468e+00 6.616e+00 6.754e+00 6.881e+00 6.996e+00
 7.099e+00 7.190e+00 7.270e+00 7.341e+00 7.403e+00 7.457e+00 7.505e+00 7.547e+00
 7.585e+00 7.619e+00 7.649e+00 7.676e+00 7.700e+00 7.721e+00 7.741e+00 7.759e+00
 7.775e+00 7.790e+00 7.805e+00 7.819e+00 7.833e+00 7.847e+00 7.862e+00 7.877e+00
 7.894e+00 7.913e+00 7.933e+00 7.956e+00 7.981e+00 8.009e+00 8.040e+00 8.075e+00
 8.113e+00 8.154e+00 8.199e+00 8.247e+00 8.297e+00 8.350e+00 8.405e+00 8.461e+00
 8.517e+00 8.573e+00 8.629e+00 8.683e+00 8.735e+00 8.786e+00 8.833e+00 8.878e+00
 8.918e+00 8.954e+00 8.983e+00 9.003e+00 9.015e+00 9.021e+00 9.031e+00 9.060e+00
 9.112e+00 9.177e+00 9.233e+00 9.270e+00 9.294e+00 9.312e+00 9.328e+00 9.342e+00
 9.355e+00 9.366e+00 9.377e+00 9.386e+00 9.394e+00 9.400e+00 9.400e+00 9.393e+00
 9.378e+00 9.356e+00 9.332e+00 9.310e+00 9.295e+00 9.287e+00 9.286e+00 9.290e+00
 9.294e+00 9.298e+00 9.299e+00 9.299e+00 9.298e+00 9.297e+00 9.295e+00 9.293e+00
 9.291e+00 9.289e+00 9.287e+00 9.285e+00 9.283e+00 9.281e+00 9.278e+00 9.275e+00
 9.272e+00 9.269e+00 9.265e+00 9.262e+00 9.258e+00 9.254e+00 9.251e+00 9.247e+00
 9.243e+00 9.240e+00 9.236e+00 9.232e+00 9.228e+00 9.224e+00 9.220e+00 9.216e+00
 9.212e+00 9.208e+00 9.204e+00 9.200e+00 9.196e+00 9.192e+00 9.188e+00 9.183e+00
