 *******************************************************************************
 *    PROCEAF3 (1) 100 GROUP EAF3 ADAPTED FOR PROCESS CODE  MARCH 1993        *
 *******************************************************************************
 HARWELL COPY OF ACTIVATION AND TRANSMUTATION CROSS SECTION FILE FOR
 FUSION REACTORS FOR USE BY CULHAM PROCESS CODE SYSTEM
 -------------------------------------------------------------------------------
 BASIC DATA SOURCE: REAC ECN5 FILE, PRODUCED BY J.KOPECKY ECN PETTEN.
 SUPPLEMENTED BY: DATA FROM UKACT1 AND RENORMALISED (N,G) DATA.
 MOST DATA HAVE BEEN RENORMALIZED TO EXPERIMENTAL DATA OR TO DATA FROM
 SYSTEMATICS AT 14.5 MEV.
 THE GROUP CROSS SECTIONS HAVE BEEN CALCULATED AT ECN IN THE 100-GROUP
 GAM II STRUCTURE AND WITH THE VITAMIN-E FLUX WEIGHTING FUNCTION.
 ISOMERS AS TARGETS, NEW TARGETS.
 NEW SYSTEMATICS FOR (N,X). THIS VERSION CONTAINS NEW CAPTURE DATA.
 ACTINIDES INCLUDED.
 ###############################################################################
  10010 1020  100    H  1  (N,G  ) H  2                1.0000+00*
 JEF-1
 
 9.08187E-01 9.13046E-01 9.19753E-01 9.25656E-01 9.40766E-01 9.64990E-01
 1.00017E+00 1.04674E+00 1.08141E+00 1.12181E+00 1.17338E+00 1.22734E+00
 1.28379E+00 1.35260E+00 1.44112E+00 1.53561E+00 1.63630E+00 1.74358E+00
 1.85791E+00 2.06308E+00 2.34748E+00 2.70503E+00 3.12235E+00 3.60683E+00
 4.16840E+00 4.81373E+00 5.55330E+00 6.41499E+00 7.40827E+00 8.53747E+00
 9.83830E+00 1.13370E+01 1.30552E+01 1.50548E+01 1.74076E+01 1.98781E+01
 2.25477E+01 2.55188E+01 2.89089E+01 3.27696E+01 3.71347E+01 4.20757E+01
 4.76726E+01 5.40964E+01 6.14382E+01 6.96493E+01 7.89292E+01 8.94454E+01
 1.01363E+02 1.14868E+02 1.30173E+02 1.47517E+02 1.67171E+02 1.89444E+02
 2.14685E+02 2.43289E+02 2.75704E+02 3.12438E+02 3.54066E+02 4.01241E+02
 4.54701E+02 5.15284E+02 5.83939E+02 6.61741E+02 7.49909E+02 8.49824E+02
 9.63052E+02 1.09137E+03 1.23678E+03 4.66968E+03
  20030  430  100   HE  3  (N,Z) FE 51
 Sum of all reactions on target not included in reaction index.
 Processed by XSECTDT.FOR March 1993.
 7.61812E-02 7.62207E-02 7.56167E-02 7.44217E-02 7.23878E-02 6.93040E-02
 6.42776E-02 5.75746E-02 4.88308E-02 3.80790E-02 2.37858E-02 7.21069E-03
 4.61822E-04 2.52655E-05 2.25121E-05 2.00196E-05 1.77635E-05 1.57214E-05
 1.38730E-05 1.22000E-05 1.06844E-05 9.31284E-06 8.07175E-06 6.94877E-06
 5.93266E-06 5.01324E-06 4.18132E-06 3.42856E-06 2.74744E-06 2.13114E-06
 1.57348E-06 1.06890E-06 6.12327E-07 2.02365E-07 1.64613E-06 4.43949E-06
 6.96702E-06 9.25404E-06 1.13234E-05 1.31959E-05 1.48901E-05 1.64231E-05
 1.78103E-05 1.90654E-05 2.02011E-05 2.12287E-05 2.21586E-05 2.29999E-05
 2.37612E-05 2.49101E-05 2.62572E-05 2.73063E-05 2.81233E-05 2.87596E-05
 2.92551E-05 2.96411E-05 2.99416E-05 3.01757E-05 3.03580E-05 3.05000E-05
 3.06106E-05 3.06967E-05 3.07638E-05 3.08160E-05 3.08567E-05 3.08883E-05
 3.09130E-05 3.09322E-05 3.09472E-05 3.09588E-05 3.09679E-05 3.09750E-05
 3.09805E-05 3.09848E-05 3.09881E-05 3.09907E-05 3.09927E-05 3.09943E-05
 3.09956E-05 3.09965E-05 3.09973E-05 3.09978E-05 3.09983E-05 3.09986E-05
 3.09989E-05 3.09991E-05 3.09993E-05 3.09994E-05 3.09995E-05 3.09996E-05
 3.09997E-05 3.09997E-05 3.09997E-05 3.09998E-05 3.09998E-05 3.09998E-05
 3.09998E-05 3.09998E-05 3.09998E-05 1.84225E-04
  30060  320   23   LI  6  (N,ND )HE  4                8.7337-01*
 ACTL EVALUATION
 
 3.65148E-01 3.69448E-01 3.80194E-01 3.92722E-01 4.15513E-01 4.58111E-01
 5.05848E-01 5.25063E-01 5.57665E-01 5.69024E-01 5.72271E-01 5.75143E-01
 5.60380E-01 5.09928E-01 3.81279E-01 2.60202E-01 1.65956E-01 1.04939E-01
 7.02096E-02 4.53541E-02 2.28377E-02 3.79820E-03 0.00000E+00
  30060 1050  100   LI  6  (N,T  )HE  4                1.0000+00*
 THRES OUTPUT, ENDF/B CORRECTED
 COMMENT. N,A   IS SAME REACTION
 2.57766E-02 2.73279E-02 3.23269E-02 3.59323E-02 4.03630E-02 4.55317E-02
 5.07881E-02 5.67694E-02 6.36191E-02 7.10996E-02 7.99603E-02 8.99530E-02
 1.02012E-01 1.12162E-01 1.23585E-01 1.42813E-01 1.69353E-01 1.90003E-01
 2.02180E-01 2.08333E-01 2.10833E-01 2.12143E-01 2.13173E-01 2.14743E-01
 2.17461E-01 2.21734E-01 2.27553E-01 2.35018E-01 2.45510E-01 2.58440E-01
 2.74613E-01 2.95086E-01 3.21696E-01 3.57693E-01 4.06706E-01 4.80764E-01
 5.96575E-01 7.94409E-01 1.15285E+00 1.82160E+00 2.81712E+00 3.20713E+00
 2.46422E+00 1.67545E+00 1.20812E+00 9.55086E-01 8.13797E-01 7.33105E-01
 6.86541E-01 6.53963E-01 6.56903E-01 6.94735E-01 7.53073E-01 8.30080E-01
 9.22462E-01 1.03183E+00 1.15901E+00 1.30535E+00 1.47259E+00 1.66384E+00
 1.88118E+00 2.12901E+00 2.41014E+00 2.73002E+00 3.09244E+00 3.50358E+00
 3.97032E+00 4.49920E+00 5.09907E+00 5.77917E+00 6.54997E+00 7.42350E+00
 8.41359E+00 9.53563E+00 1.08073E+01 1.22486E+01 1.38820E+01 1.57327E+01
 1.78294E+01 2.02054E+01 2.28981E+01 2.59496E+01 2.94078E+01 3.33269E+01
 3.77682E+01 4.28014E+01 4.85040E+01 5.49648E+01 6.22855E+01 7.05812E+01
 7.99818E+01 9.06344E+01 1.02706E+02 1.16385E+02 1.31886E+02 1.49450E+02
 1.69353E+02 1.91905E+02 2.17460E+02 8.20439E+02
  30060  430  100   LI  6  (N,Z) FE 51
 Sum of all reactions on target not included in reaction index.
 Processed by XSECTDT.FOR March 1993.
 8.45391E-02 8.38047E-02 7.68570E-02 7.02484E-02 6.34330E-02 5.73014E-02
 5.12844E-02 4.57981E-02 4.12530E-02 3.82849E-02 3.69319E-02 3.33617E-02
 3.47295E-02 3.01371E-02 1.24578E-02 5.88135E-04 7.51982E-05 6.98851E-05
 6.49467E-05 6.03564E-05 5.60860E-05 5.21171E-05 4.84290E-05 4.50019E-05
 4.18174E-05 3.88582E-05 3.61084E-05 3.35531E-05 3.11788E-05 2.89724E-05
 2.69222E-05 2.50170E-05 2.32467E-05 2.16016E-05 2.00730E-05 1.86525E-05
 1.73326E-05 1.61060E-05 1.49663E-05 1.39072E-05 1.29230E-05 1.26351E-05
 1.32764E-05 1.39571E-05 1.46727E-05 1.54250E-05 1.62158E-05 1.70472E-05
 1.79213E-05 1.95709E-05 2.21767E-05 2.51295E-05 2.84755E-05 3.22669E-05
 3.65632E-05 4.14315E-05 4.69480E-05 5.31991E-05 6.02819E-05 6.83089E-05
 7.74042E-05 8.77104E-05 9.93889E-05 1.12622E-04 1.27618E-04 1.44610E-04
 1.63865E-04 1.85683E-04 2.10406E-04 2.38422E-04 2.70167E-04 3.06139E-04
 3.46901E-04 3.93091E-04 4.45430E-04 5.04739E-04 5.71944E-04 6.48097E-04
 7.34390E-04 8.32173E-04 9.42976E-04 1.06853E-03 1.21080E-03 1.37202E-03
 1.55470E-03 1.76171E-03 1.99628E-03 2.26208E-03 2.56327E-03 2.90457E-03
 3.29131E-03 3.72954E-03 4.22612E-03 4.78883E-03 5.42645E-03 6.14897E-03
 6.96770E-03 7.89544E-03 8.94672E-03 3.37551E-02
  30070  220   18   LI  7  (N,NA ) H  3                9.1811-01*
 THRES OUTPUT, ENDF/B CORRECTED
 COMMENT.  LI-7 N,NT IS SAME REACTION! RN - EVL-YO81(P.YOUNG LASL)
 3.04546E-01 3.19753E-01 3.56062E-01 3.74717E-01 3.82462E-01 3.86543E-01
 3.89084E-01 3.84192E-01 3.65796E-01 3.28405E-01 2.32047E-01 1.09197E-01
 4.09021E-02 1.54653E-02 8.09602E-03 2.81961E-03 6.40903E-04 0.00000E+00
  30070 1020  100   LI  7  (N,G  )LI  8                1.0000+00*
 JEF-1
 
 1.56981E-04 1.51722E-04 1.39566E-04 1.31360E-04 1.23308E-04 1.16095E-04
 1.09301E-04 1.02901E-04 9.68742E-05 9.11980E-05 8.58527E-05 8.08192E-05
 7.60795E-05 7.16166E-05 6.74147E-05 6.34584E-05 5.97337E-05 5.62270E-05
 5.29257E-05 4.98176E-05 4.68890E-05 4.41320E-05 4.15371E-05 3.90948E-05
