   176  NB 92M  410921  5518  T
   177  NB 93   410930  7609 ST
   178  NB 93M  410931  5520  T
   179  NB 94   410940  5521  T
   180  NB 94M  410941  4129
   181  NB 95   410950  5522  T
   182  NB 95M  410951  5524  T
   183  NB 96   410960  5525  T
   184  NB 97   410970  5527
   185  NB 97M  410971  5529
   186  MO 91   420910  5558
   187  MO 91M  420911  5560
   188  MO 92   420920  7610 ST
   189  MO 93   420930  5561  T
   190  MO 93M  420931  5563
   191  MO 94   420940  7611 ST
   192  MO 95   420950  7612 ST
   193  MO 96   420960  7613 ST
   194  MO 97   420970  7614 ST
   195  MO 98   420980  7615 ST
   196  MO 99   420990  5564  T
   197  MO100   421000  7616 ST
   198  MO101   421010  5565
   199  TC 98   430980  5590  T
   200  TC 99   430990  5592  T
   201  TC 99M  430991  5593
   202  TC100   431000  5595
   203  TC101   431010  5596
   204  RU 99   440990  7619 ST
   205  RU100   441000  7620 ST
   206  RU101   441010  7621 ST
   207  PD106   461060  7628 ST
   208  PD107   461070  5672  T
   209  PD107M  461071  5674
   210  PD108   461080  7629 ST
   211  PD110   461100  7630 ST
   212  AG106   471060  4722
   213  AG106M  471061  4723  T
   214  AG107   471070  7631 ST
   215  AG107M  471071  5698
   216  AG108   471080  5700
   217  AG108M  471081  5701  T
   218  AG109   471090  7632 ST
   219  AG109M  471091  5702
   220  AG110   471100  5703
   221  AG110M  471101  5705  T
   222  AG111   471110  5706  T
   223  AG111M  471111  5708
   224  CD108   481080  7634 ST
   225  CD109   481090  5747  T
   226  CD110   481100  7635 ST
   227  CD111   481110  7636 ST
   228  CD111M  481111  5749
   229  IN113   491130  7640 ST
   230  SN112   501120  7641 ST
   231  SN113   501130  5856  T
   232  SN113M  501131  5858
   233  SN114   501140  7642 ST
   234  SN115   501150  7643 ST
   235  SN116   501160  7644 ST
   236  SN117   501170  7645 ST
   237  SN117M  501171  5859  T
   238  SN118   501180  7646 ST
   239  SN119   501190  7647 ST
   240  SN119M  501191  5860  T
   241  SN120   501200  7648 ST
   242  SN120M  501201  7649
   243  SN121   501210  5861  T
   244  SN121M  501211  5863  T
   245  SN122   501220  7649 ST
   246  SN123   501230  5865  T
   247  SN123M  501231  5866
   248  SN124   501240  7650 ST
   249  SN125   501250  5868  T
   250  SN125M  501251  5870
   251  SN126   501260  5871  T
   252  SB121   511210  7651 ST
   253  SB121M  511211  7652
   254  SB122   511220  5898  T
   255  SB122M  511221  5900
   256  SB123   511230  7652 ST
   257  SB124   511240  5902  T
   258  SB124M  511241  5903
   259  SB124N  511242  5904
   260  SB125   511250  5906  T
   261  SB126   511260  5908  T
   262  SB126M  511261  5910
   263  SB126N  511262  5911
   264  TE122   521220  7654 ST
   265  TE124   521240  7655 ST
   266  TE125   521250  7656 ST
   267  TE125M  521251  5944  T
   268  TE126   521260  7657 ST
   269  HF178   721780  7727 ST
   270  HF178M  721781  6332
   271  HF178N  721782  6334  T
   272  HF179   721790  7728 ST
   273  HF179M  721791  6336
   274  HF179N  721792  6338  T
   275  HF180   721800  7729 ST
   276  HF180M  721801  6340  T
   277  TA179   731790  6348  T
   278  TA180   731800  7373
   279  TA180M  731801  7278  T
   280  TA181   731810  7730 ST
   281  TA182   731820  6352  T
   282  TA182M  731821  6353
   283  TA182N  731822  6355
   284  TA183   731830  6356  T
   285  TA184   731840  6358
   286   W179   741790  7422
   287   W179M  741791  7423
   288   W180   741800  7731 ST
   289   W181   741810  6363  T
   290   W182   741820  7732 ST
   291   W183   741830  7733 ST
   292   W183M  741831  7435
   293   W184   741840  7734 ST
   294   W185   741850  6364  T
   295   W185M  741851  6365
   296   W186   741860  7735 ST
   297   W187   741870  6367  T
   298  RE184   751840  7522  T
   299  RE184M  751841  7523  T
   300  RE185   751850  7736 ST
   301  RE186   751860  7528  T
   302  RE186M  751861  7529  T
   303  RE187   751870  6368  T
   304  RE188   751880  7534  T
   305  RE188M  751881  7535
   306  OS185   761850  7628  T
   307  OS186   761860  7631  T
   308  OS187   761870  7738 ST
   309  OS188   761880  7739 ST
   310  OS189   761890  7740 ST
   311  OS189M  761891  7641
   312  OS190   761900  7741 ST
   313  OS190M  761901  7644
   314  OS191   761910  7646  T
   315  OS191M  761911  7647  T
   316  OS192   761920  7742 ST
   317  IR191   771910  7743 ST
   318  IR191M  771911  7725
   319  IR191N  771912  7323
   320  IR192   771920  6372  T
   321  IR192M  771921  6374
   322  IR192N  771922  6376  T
   323  IR193   771930  7744 ST
   324  IR193M  771931  7732  T
   325  IR194   771940  7734  T
   326  IR194M  771941  7735  T
   327  PT192   781920  7745 ST
   328  PT193   781930  7338  T
   329  PT194   781940  7746 ST
   330  HG202   802020  7756 ST
   331  HG203   802030  6387  T
   332  HG204   802040  7757 ST
   333  TL202   812020  6390  T
   334  TL203   812030  7758 ST
   335  TL204   812040  6392  T
   336  TL205   812050  7759 ST
   337  TL206   812060  6393
   338  TL206M  812061  6395
   339  TL208   812080  6400
   340  PB203   822030  6404  T
   341  PB203M  822031  6406
   342  PB203N  822032  6408
   343  PB204   822040  7760 ST
   344  PB204M  822041  6410
   345  PB205   822050  6412  T
   346  PB206   822060  7761 ST
   347  PB207   822070  7762 ST
   348  PB207M  822071  8235
   349  PB208   822080  7763 ST
   350  PB209   822090  6413  T
   351  BI207   832070  6422  T
   352  BI207M  832071  8320
   353  BI208   832080  6424  T
   354  BI209   832090  7764 ST
   355  BI210   832100  6425  T
   356  BI210M  832101  6427  T
   357  PO209   842090  6443  T
   358  PO210   842100  6445  T
   359  PO210M  842101  8438
   360   H  1    10013  7500  S
   361   H  2    10023  7501  S
   362   H  3    10033  5001
   363   E  3    20033  7502  S
   364  HE  4    20043  7503  S
