 Y7_=_integral_of_radiation_loss_from_impurities_[MW]
 Y8_=_integral_of_radiation_loss_from_hydrogenic_species_[MW]
 Y9_=_integral_of_power_loss_due_to_charge_exchange_[MW]
 Y10=_integral_of_power_loss_due_to_electron_impact_ionisation_[MW]
 qconv=_Convected_power_density_through_a_surface_perpendicular_to_B_[W/m2]
 qcond=_Conducted_power_density_through_a_surface_perpendicular_to_B_[W/m2]
 im_rad=_Impurity_radiation_[W/m2]
 step   x//B_[m]     te_[eV]  ne/1e20/m3    Pth_[Pa] Ptotal_[Pa]     v_[m/s]       mach   n0/1e20/m3   Power_[W]   perp_area   qtot_W/m2  qconv_W/m2  qcond_W/m2     CX_W/m3    Ion_W/m3  H_rad_W/m3 im_rad_W/m3          Y7          Y8          Y9         Y10          He          Be          C_          N_          O_          Ne          Si          Ar          Fe          Ni          Kr          Xe          W_ n01/1e20/m3 n02/1e20m-3        nv24      v/ms-1
   10    0.00037  2.326E+000  2.961E+001  2.207E+003  2.893E+003 -7.472E+003  5.576E-001  2.170E+001  5.221E+006  9.405E-002  5.551E+007  4.379E+007  1.172E+007  1.897E+010  4.013E+009  1.331E+009  8.904E+007  1.595E-003  3.198E-002  5.190E-001  8.840E-002  1.882E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  6.968E+007  5.357E+005  1.967E+001  2.025E+000 -2.212E+001 -7.472E+003
   11    0.00039  2.350E+000  2.999E+001  2.258E+003  2.933E+003 -7.362E+003  5.466E-001  2.163E+001  5.279E+006  9.405E-002  5.614E+007  4.405E+007  1.209E+007  1.945E+010  4.253E+009  1.391E+009  9.703E+007  1.815E-003  3.521E-002  5.646E-001  9.822E-002  2.082E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  7.564E+007  5.776E+005  1.960E+001  2.024E+000 -2.208E+001 -7.362E+003
   12    0.00042  2.375E+000  3.039E+001  2.313E+003  2.976E+003 -7.250E+003  5.354E-001  2.155E+001  5.345E+006  9.405E-002  5.683E+007  4.432E+007  1.250E+007  1.995E+010  4.521E+009  1.458E+009  1.057E+008  2.072E-003  3.883E-002  6.147E-001  1.094E-001  2.300E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  8.204E+007  6.260E+005  1.952E+001  2.023E+000 -2.203E+001 -7.250E+003
   13    0.00045  2.402E+000  3.079E+001  2.370E+003  3.021E+003 -7.137E+003  5.241E-001  2.145E+001  5.417E+006  9.405E-002  5.759E+007  4.462E+007  1.298E+007  2.047E+010  4.819E+009  1.530E+009  1.155E+008  2.372E-003  4.289E-002  6.696E-001  1.220E-001  2.554E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  8.932E+007  6.809E+005  1.943E+001  2.022E+000 -2.198E+001 -7.137E+003
   14    0.00048  2.432E+000  3.120E+001  2.431E+003  3.070E+003 -7.023E+003  5.126E-001  2.135E+001  5.496E+006  9.405E-002  5.844E+007  4.493E+007  1.351E+007  2.102E+010  5.153E+009  1.609E+009  1.269E+008  2.724E-003  4.745E-002  7.299E-001  1.365E-001  2.850E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  9.764E+007  7.435E+005  1.933E+001  2.021E+000 -2.191E+001 -7.023E+003
   15    0.00051  2.464E+000  3.161E+001  2.496E+003  3.122E+003 -6.908E+003  5.009E-001  2.123E+001  5.584E+006  9.405E-002  5.938E+007  4.527E+007  1.411E+007  2.160E+010  5.528E+009  1.696E+009  1.400E+008  3.139E-003  5.258E-002  7.960E-001  1.531E-001  3.199E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.072E+008  8.153E+005  1.921E+001  2.020E+000 -2.184E+001 -6.908E+003
   16    0.00055  2.498E+000  3.203E+001  2.564E+003  3.177E+003 -6.792E+003  4.891E-001  2.109E+001  5.683E+006  9.405E-002  6.042E+007  4.562E+007  1.480E+007  2.220E+010  5.949E+009  1.792E+009  1.544E+008  3.628E-003  5.837E-002  8.688E-001  1.722E-001  3.587E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.176E+008  8.979E+005  1.907E+001  2.018E+000 -2.175E+001 -6.792E+003
   17    0.00058  2.535E+000  3.245E+001  2.636E+003  3.236E+003 -6.675E+003  4.771E-001  2.093E+001  5.792E+006  9.405E-002  6.158E+007  4.599E+007  1.559E+007  2.282E+010  6.425E+009  1.897E+009  1.708E+008  4.206E-003  6.492E-002  9.487E-001  1.941E-001  4.034E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.294E+008  9.934E+005  1.891E+001  2.017E+000 -2.166E+001 -6.675E+003
   18    0.00062  2.576E+000  3.286E+001  2.712E+003  3.299E+003 -6.557E+003  4.650E-001  2.075E+001  5.913E+006  9.405E-002  6.287E+007  4.638E+007  1.649E+007  2.346E+010  6.962E+009  2.012E+009  1.898E+008  4.890E-003  7.233E-002  1.037E+000  2.195E-001  4.564E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.430E+008  1.104E+006  1.873E+001  2.015E+000 -2.155E+001 -6.557E+003
   19    0.00067  2.620E+000  3.327E+001  2.793E+003  3.365E+003 -6.437E+003  4.527E-001  2.053E+001  6.048E+006  9.405E-002  6.431E+007  4.679E+007  1.752E+007  2.411E+010  7.571E+009  2.139E+009  2.115E+008  5.702E-003  8.076E-002  1.133E+000  2.490E-001  5.177E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.585E+008  1.232E+006  1.852E+001  2.012E+000 -2.142E+001 -6.437E+003
   20    0.00071  2.668E+000  3.366E+001  2.878E+003  3.436E+003 -6.316E+003  4.401E-001  2.028E+001  6.199E+006  9.405E-002  6.591E+007  4.721E+007  1.870E+007  2.477E+010  8.262E+009  2.278E+009  2.354E+008  6.670E-003  9.034E-002  1.239E+000  2.833E-001  5.850E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.755E+008  1.376E+006  1.827E+001  2.010E+000 -2.126E+001 -6.316E+003
   21    0.00076  2.721E+000  3.405E+001  2.968E+003  3.510E+003 -6.194E+003  4.274E-001  1.999E+001  6.368E+006  9.405E-002  6.771E+007  4.764E+007  2.007E+007  2.542E+010  9.047E+009  2.431E+009  2.632E+008  7.826E-003  1.013E-001  1.356E+000  3.234E-001  6.649E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.952E+008  1.545E+006  1.798E+001  2.007E+000 -2.109E+001 -6.194E+003
