 Y7_=_integral_of_radiation_loss_from_impurities_[MW]
 Y8_=_integral_of_radiation_loss_from_hydrogenic_species_[MW]
 Y9_=_integral_of_power_loss_due_to_charge_exchange_[MW]
 Y10=_integral_of_power_loss_due_to_electron_impact_ionisation_[MW]
 qconv=_Convected_power_density_through_a_surface_perpendicular_to_B_[W/m2]
 qcond=_Conducted_power_density_through_a_surface_perpendicular_to_B_[W/m2]
 im_rad=_Impurity_radiation_[W/m2]
 step   x//B_[m]     te_[eV]  ne/1e20/m3    Pth_[Pa] Ptotal_[Pa]     v_[m/s]       mach   n0/1e20/m3   Power_[W]   perp_area   qtot_W/m2  qconv_W/m2  qcond_W/m2     CX_W/m3    Ion_W/m3  H_rad_W/m3 im_rad_W/m3          Y7          Y8          Y9         Y10          He          Be          C_          N_          O_          Ne          Si          Ar          Fe          Ni          Kr          Xe          W_ n01/1e20/m3 n02/1e20m-3        nv24      v/ms-1
   39    0.00254  4.980E+000  2.968E+001  4.737E+003  4.876E+003 -3.365E+003  1.716E-001  3.562E+000  1.308E+007  9.405E-002  1.391E+008  4.008E+007  9.899E+007  9.330E+009  1.105E+010  1.552E+009  1.465E+009  1.584E-001  5.742E-001  4.934E+000  2.833E+000  2.591E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.198E+009  7.377E+006  1.955E+000  1.607E+000 -9.989E+000 -3.365E+003
   40    0.00272  5.181E+000  2.878E+001  4.778E+003  4.901E+003 -3.212E+003  1.606E-001  2.819E+000  1.343E+007  9.405E-002  1.429E+008  3.857E+007  1.043E+008  7.560E+009  9.290E+009  1.271E+009  1.540E+009  1.833E-001  5.975E-001  5.073E+000  3.002E+000  2.767E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.256E+009  7.876E+006  1.279E+000  1.540E+000 -9.244E+000 -3.212E+003
   41    0.00291  5.386E+000  2.788E+001  4.811E+003  4.921E+003 -3.076E+003  1.509E-001  2.262E+000  1.376E+007  9.405E-002  1.463E+008  3.717E+007  1.091E+008  6.196E+009  7.865E+009  1.049E+009  1.612E+009  2.112E-001  6.179E-001  5.194E+000  3.153E+000  2.984E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.306E+009  8.410E+006  7.932E-001  1.468E+000 -8.577E+000 -3.076E+003
   42    0.00311  5.593E+000  2.700E+001  4.839E+003  4.937E+003 -2.950E+003  1.420E-001  1.854E+000  1.405E+007  9.405E-002  1.494E+008  3.584E+007  1.135E+008  5.182E+009  6.790E+009  8.845E+008  1.682E+009  2.423E-001  6.361E-001  5.301E+000  3.291E+000  3.233E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.350E+009  8.974E+006  4.631E-001  1.391E+000 -7.967E+000 -2.950E+003
   43    0.00332  5.803E+000  2.616E+001  4.864E+003  4.951E+003 -2.828E+003  1.336E-001  1.562E+000  1.433E+007  9.405E-002  1.523E+008  3.451E+007  1.178E+008  4.448E+009  6.012E+009  7.649E+008  1.750E+009  2.770E-001  6.527E-001  5.398E+000  3.419E+000  3.514E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.389E+009  9.572E+006  2.529E-001  1.309E+000 -7.397E+000 -2.828E+003
   44    0.00355  6.015E+000  2.534E+001  4.885E+003  4.962E+003 -2.703E+003  1.254E-001  1.352E+000  1.459E+007  9.405E-002  1.552E+008  3.312E+007  1.221E+008  3.917E+009  5.456E+009  6.785E+008  1.814E+009  3.155E-001  6.683E-001  5.488E+000  3.543E+000  3.834E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.420E+009  1.021E+007  1.283E-001  1.223E+000 -6.850E+000 -2.703E+003
   45    0.00380  6.231E+000  2.457E+001  4.905E+003  4.972E+003 -2.570E+003  1.172E-001  1.194E+000  1.486E+007  9.405E-002  1.580E+008  3.161E+007  1.264E+008  3.519E+009  5.048E+009  6.138E+008  1.876E+009  3.582E-001  6.831E-001  5.573E+000  3.664E+000  4.176E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.448E+009  1.086E+007  6.006E-002  1.133E+000 -6.315E+000 -2.570E+003
   46    0.00406  6.449E+000  2.382E+001  4.923E+003  4.981E+003 -2.427E+003  1.088E-001  1.067E+000  1.512E+007  9.405E-002  1.608E+008  2.994E+007  1.309E+008  3.196E+009  4.721E+009  5.615E+008  1.938E+009  4.053E-001  6.976E-001  5.656E+000  3.785E+000  4.541E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.472E+009  1.154E+007  2.583E-002  1.041E+000 -5.782E+000 -2.427E+003
   47    0.00434  6.671E+000  2.311E+001  4.940E+003  4.989E+003 -2.271E+003  1.001E-001  9.561E-001  1.539E+007  9.405E-002  1.636E+008  2.810E+007  1.355E+008  2.912E+009  4.424E+009  5.149E+008  1.994E+009  4.572E-001  7.118E-001  5.737E+000  3.905E+000  4.918E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.489E+009  1.222E+007  1.017E-002  9.460E-001 -5.248E+000 -2.271E+003
   48    0.00464  6.897E+000  2.242E+001  4.955E+003  4.996E+003 -2.103E+003  9.113E-002  8.540E-001  1.566E+007  9.405E-002  1.665E+008  2.609E+007  1.404E+008  2.641E+009  4.127E+009  4.702E+008  2.047E+009  5.143E-001  7.257E-001  5.815E+000  4.026E+000  5.300E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.504E+009  1.291E+007  3.702E-003  8.503E-001 -4.714E+000 -2.103E+003
   49    0.00496  7.128E+000  2.175E+001  4.969E+003  5.002E+003 -1.924E+003  8.202E-002  7.564E-001  1.593E+007  9.405E-002  1.694E+008  2.393E+007  1.455E+008  2.374E+009  3.774E+009  4.217E+008  2.097E+009  5.768E-001  7.392E-001  5.891E+000  4.146E+000  5.680E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.515E+009  1.359E+007  1.394E-003  7.550E-001 -4.185E+000 -1.924E+003
   50    0.00531  7.363E+000  2.111E+001  4.981E+003  5.007E+003 -1.741E+003  7.302E-002  6.635E-001  1.620E+007  9.405E-002  1.723E+008  2.170E+007  1.506E+008  2.112E+009  3.387E+009  3.715E+008  2.138E+009  6.453E-001  7.520E-001  5.963E+000  4.261E+000  6.026E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.521E+009  1.425E+007  5.393E-004  6.630E-001 -3.675E+000 -1.741E+003
   51    0.00567  7.603E+000  2.048E+001  4.991E+003  5.011E+003 -1.556E+003  6.422E-002  5.753E-001  1.647E+007  9.405E-002  1.751E+008  1.943E+007  1.557E+008  1.856E+009  3.003E+009  3.234E+008  2.175E+009  7.197E-001  7.640E-001  6.031E+000  4.371E+000  6.360E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.524E+009  1.490E+007  2.732E-004  5.751E-001 -3.187E+000 -1.556E+003
   52    0.00606  7.848E+000  1.988E+001  4.999E+003  5.015E+003 -1.372E+003  5.576E-002  4.925E-001  1.673E+007  9.405E-002  1.778E+008  1.716E+007  1.607E+008  1.609E+009  2.625E+009  2.790E+008  2.201E+009  8.005E-001  7.751E-001  6.095E+000  4.475E+000  6.637E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.522E+009  1.552E+007  2.056E-004  4.923E-001 -2.728E+000 -1.372E+003
   53    0.00648  8.098E+000  1.929E+001  5.006E+003  5.017E+003 -1.194E+003  4.775E-002  4.157E-001  1.698E+007  9.405E-002  1.805E+008  1.495E+007  1.656E+008  1.376E+009  2.254E+009  2.411E+008  2.220E+009  8.878E-001  7.853E-001  6.154E+000  4.571E+000  6.872E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.517E+009  1.612E+007  1.560E-004  4.156E-001 -2.303E+000 -1.194E+003
   54    0.00693  8.352E+000  1.873E+001  5.011E+003  5.019E+003 -1.023E+003  4.030E-002  3.459E-001  1.722E+007  9.405E-002  1.831E+008  1.282E+007  1.703E+008  1.158E+009  1.906E+009  2.053E+008  2.231E+009  9.818E-001  7.947E-001  6.208E+000  4.659E+000  7.056E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.509E+009  1.670E+007  1.712E-004  3.457E-001 -1.916E+000 -1.023E+003
   55    0.00741  8.610E+000  1.818E+001  5.015E+003  5.021E+003 -8.628E+002  3.347E-002  2.832E-001  1.746E+007  9.405E-002  1.856E+008  1.082E+007  1.748E+008  9.595E+008  1.586E+009  1.720E+008  2.230E+009  1.082E+000  8.032E-001  6.255E+000  4.737E+000  7.166E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.497E+009  1.724E+007  1.736E-004  2.830E-001 -1.568E+000 -8.628E+002
   56    0.00793  8.873E+000  1.765E+001  5.018E+003  5.022E+003 -7.150E+002  2.732E-002  2.278E-001  1.768E+007  9.405E-002  1.880E+008  8.971E+006  1.791E+008  7.808E+008  1.297E+009  1.416E+008  2.226E+009  1.190E+000  8.108E-001  6.297E+000  4.807E+000  7.248E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.483E+009  1.778E+007  1.346E-004  2.277E-001 -1.262E+000 -7.150E+002
   57    0.00847  9.140E+000  1.714E+001  5.020E+003  5.023E+003 -5.813E+002  2.189E-002  1.799E-001  1.790E+007  9.405E-002  1.903E+008  7.297E+006  1.830E+008  6.233E+008  1.040E+009  1.143E+008  2.206E+009  1.304E+000  8.174E-001  6.333E+000  4.867E+000  7.232E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.465E+009  1.826E+007  9.017E-005  1.798E-001 -9.964E-001 -5.813E+002
   58    0.00906  9.411E+000  1.665E+001  5.022E+003  5.023E+003 -4.631E+002  1.718E-002  1.393E-001  1.811E+007  9.405E-002  1.925E+008  5.814E+006  1.867E+008  4.877E+008  8.173E+008  9.052E+007  2.184E+009  1.425E+000  8.230E-001  6.364E+000  4.918E+000  7.198E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.446E+009  1.874E+007  1.322E-004  1.391E-001 -7.711E-001 -4.631E+002
   59    0.00969  9.685E+000  1.618E+001  5.023E+003  5.023E+003 -3.607E+002  1.319E-002  1.055E-001  1.831E+007  9.405E-002  1.947E+008  4.530E+006  1.901E+008  3.732E+008  6.283E+008  7.008E+007  2.152E+009  1.553E+000  8.277E-001  6.389E+000  4.960E+000  7.094E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.423E+009  1.917E+007  1.370E-004  1.053E-001 -5.838E-001 -3.607E+002
   60    0.01036  9.963E+000  1.573E+001  5.023E+003  5.024E+003 -2.742E+002  9.887E-003  7.763E-002  1.850E+007  9.405E-002  1.967E+008  3.443E+006  1.933E+008  2.776E+008  4.694E+008  5.273E+007  2.117E+009  1.688E+000  8.315E-001  6.409E+000  4.994E+000  6.969E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.400E+009  1.959E+007 -2.394E-004  7.787E-002 -4.314E-001 -2.742E+002
   61    0.01107  1.024E+001  1.530E+001  5.023E+003  5.024E+003 -2.036E+002  7.239E-003  5.634E-002  1.869E+007  9.405E-002  1.987E+008  2.556E+006  1.962E+008  2.035E+008  3.421E+008  3.886E+007  2.075E+009  1.829E+000  8.346E-001  6.425E+000  5.022E+000  6.799E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.375E+009  1.999E+007  1.425E-004  5.619E-002 -3.115E-001 -2.036E+002
   62    0.01184  1.053E+001  1.489E+001  5.024E+003  5.024E+003 -1.473E+002  5.168E-003  3.937E-002  1.887E+007  9.405E-002  2.007E+008  1.850E+006  1.988E+008  1.436E+008  2.397E+008  2.754E+007  2.031E+009  1.977E+000  8.370E-001  6.438E+000  5.042E+000  6.612E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.349E+009  2.036E+007 -2.388E-004  3.961E-002 -2.194E-001 -1.473E+002
   63    0.01266  1.082E+001  1.449E+001  5.024E+003  5.024E+003 -1.041E+002  3.602E-003  2.721E-002  1.905E+007  9.405E-002  2.026E+008  1.307E+006  2.013E+008  1.002E+008  1.661E+008  1.930E+007  1.982E+009  2.131E+000  8.388E-001  6.447E+000  5.058E+000  6.399E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.322E+009  2.071E+007 -1.618E-005  2.722E-002 -1.509E-001 -1.041E+002
   64    0.01353  1.111E+001  1.411E+001  5.024E+003  5.024E+003 -7.152E+001  2.442E-003  1.820E-002  1.924E+007  9.405E-002  2.045E+008  8.982E+005  2.036E+008  6.767E+007  1.114E+008  1.309E+007  1.932E+009  2.293E+000  8.401E-001  6.454E+000  5.069E+000  6.176E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.294E+009  2.103E+007 -1.692E-005  1.821E-002 -1.009E-001 -7.152E+001
   65    0.01447  1.140E+001  1.375E+001  5.024E+003  5.024E+003 -4.775E+001  1.609E-003  1.190E-002  1.942E+007  9.405E-002  2.065E+008  5.997E+005  2.059E+008  4.468E+007  7.304E+007  8.683E+006  1.880E+009  2.461E+000  8.410E-001  6.459E+000  5.077E+000  5.939E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.265E+009  2.134E+007  6.436E-005  1.184E-002 -6.564E-002 -4.775E+001
   66    0.01547  1.170E+001  1.340E+001  5.024E+003  5.024E+003 -3.073E+001  1.022E-003  7.150E-003  1.960E+007  9.405E-002  2.084E+008  3.859E+005  2.080E+008  2.709E+007  4.399E+007  5.287E+006  1.827E+009  2.635E+000  8.417E-001  6.462E+000  5.083E+000  5.699E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.235E+009  2.162E+007 -3.091E-004  7.459E-003 -4.116E-002 -3.073E+001
   67    0.01654  1.201E+001  1.306E+001  5.024E+003  5.024E+003 -1.938E+001  6.365E-004  4.744E-003  1.979E+007  9.405E-002  2.104E+008  2.433E+005  2.102E+008  1.814E+007  2.926E+007  3.556E+006  1.772E+009  2.816E+000  8.421E-001  6.464E+000  5.086E+000  5.453E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.205E+009  2.188E+007  1.980E-004  4.546E-003 -2.530E-002 -1.938E+001
   68    0.01769  1.231E+001  1.273E+001  5.024E+003  5.024E+003 -1.167E+001  3.787E-004  2.759E-003  1.998E+007  9.405E-002  2.125E+008  1.466E+005  2.123E+008  1.065E+007  1.707E+007  2.097E+006  1.718E+009  3.004E+000  8.424E-001  6.466E+000  5.089E+000  5.212E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.175E+009  2.213E+007  8.590E-005  2.674E-003 -1.486E-002 -1.167E+001
   69    0.01891  1.262E+001  1.242E+001  5.024E+003  5.024E+003 -6.780E+000  2.172E-004  1.572E-003  2.018E+007  9.405E-002  2.145E+008  8.515E+004  2.145E+008  6.123E+006  9.752E+006  1.211E+006  1.663E+009  3.199E+000  8.426E-001  6.467E+000  5.090E+000  4.967E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.144E+009  2.239E+007  5.908E-005  1.513E-003 -8.420E-003 -6.780E+000
   70    0.02022  1.294E+001  1.212E+001  5.024E+003  5.024E+003 -3.857E+000  1.221E-004  1.034E-003  2.038E+007  9.405E-002  2.167E+008  4.845E+004  2.167E+008  4.061E+006  6.427E+006  8.067E+005  1.609E+009  3.400E+000  8.427E-001  6.467E+000  5.091E+000  4.732E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.113E+009  2.265E+007  2.113E-004  8.222E-004 -4.674E-003 -3.857E+000
   71    0.02162  1.326E+001  1.182E+001  5.024E+003  5.024E+003 -2.276E+000  7.114E-005  1.007E-003  2.059E+007  9.405E-002  2.189E+008  2.859E+004  2.189E+008  3.992E+006  6.279E+006  7.966E+005  1.553E+009  3.608E+000  8.428E-001  6.468E+000  5.092E+000  4.496E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.081E+009  2.287E+007  5.794E-004  4.276E-004 -2.691E-003 -2.276E+000
   72    0.02311  1.359E+001  1.154E+001  5.024E+003  5.024E+003 -9.302E-001  2.872E-005  2.764E-005  2.080E+007  9.405E-002  2.212E+008  1.168E+004  2.212E+008  0.000E+000  0.000E+000  0.000E+000  1.500E+009  3.823E+000  8.428E-001  6.468E+000  5.092E+000  4.273E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.049E+009  2.309E+007 -1.845E-004  2.121E-004 -1.073E-003 -9.302E-001
   73    0.02471  1.392E+001  1.126E+001  5.024E+003  5.024E+003 -4.884E-001  1.490E-005 -1.398E-004  2.103E+007  9.405E-002  2.236E+008  6.134E+003  2.236E+008  0.000E+000  0.000E+000  0.000E+000  1.444E+009  4.044E+000  8.429E-001  6.468E+000  5.092E+000  4.049E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.016E+009  2.333E+007 -2.656E-004  1.258E-004 -5.501E-004 -4.884E-001
   74    0.02642  1.426E+001  1.100E+001  5.024E+003  5.024E+003 -4.973E-001  1.499E-005 -1.430E-004  2.125E+007  9.405E-002  2.260E+008  6.246E+003  2.260E+008  0.000E+000  0.000E+000  0.000E+000  1.390E+009  4.272E+000  8.429E-001  6.468E+000  5.092E+000  3.838E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  9.831E+008  2.357E+007 -2.686E-004  1.255E-004 -5.469E-004 -4.973E-001
   75    0.02825  1.460E+001  1.074E+001  5.024E+003  5.024E+003 -5.093E-001  1.517E-005 -1.430E-004  2.149E+007  9.405E-002  2.285E+008  6.397E+003  2.285E+008  0.000E+000  0.000E+000  0.000E+000  1.335E+009  4.506E+000  8.429E-001  6.468E+000  5.092E+000  3.632E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  9.485E+008  2.379E+007 -2.686E-004  1.255E-004 -5.469E-004 -5.093E-001
   76    0.03021  1.495E+001  1.049E+001  5.024E+003  5.024E+003 -5.215E-001  1.535E-005 -1.430E-004  2.173E+007  9.405E-002  2.310E+008  6.550E+003  2.310E+008  0.000E+000  0.000E+000  0.000E+000  1.282E+009  4.747E+000  8.429E-001  6.468E+000  5.092E+000  3.437E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  9.144E+008  2.401E+007 -2.686E-004  1.255E-004 -5.469E-004 -5.215E-001
   77    0.03230  1.531E+001  1.024E+001  5.024E+003  5.024E+003 -5.340E-001  1.553E-005 -1.430E-004  2.198E+007  9.405E-002  2.337E+008  6.706E+003  2.337E+008  0.000E+000  0.000E+000  0.000E+000  1.228E+009  4.993E+000  8.429E-001  6.468E+000  5.092E+000  3.248E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  8.794E+008  2.424E+007 -2.686E-004  1.255E-004 -5.469E-004 -5.340E-001
   78    0.03453  1.567E+001  1.000E+001  5.024E+003  5.024E+003 -5.467E-001  1.572E-005 -1.430E-004  2.223E+007  9.405E-002  2.364E+008  6.866E+003  2.363E+008  0.000E+000  0.000E+000  0.000E+000  1.175E+009  5.246E+000  8.429E-001  6.468E+000  5.092E+000  3.068E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  8.439E+008  2.447E+007 -2.686E-004  1.255E-004 -5.469E-004 -5.467E-001
   79    0.03692  1.604E+001  9.773E+000  5.024E+003  5.024E+003 -5.596E-001  1.590E-005 -1.430E-004  2.249E+007  9.405E-002  2.391E+008  7.028E+003  2.391E+008  0.000E+000  0.000E+000  0.000E+000  1.123E+009  5.504E+000  8.429E-001  6.468E+000  5.092E+000  2.896E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  8.087E+008  2.470E+007 -2.686E-004  1.255E-004 -5.469E-004 -5.596E-001
   80    0.03947  1.642E+001  9.548E+000  5.024E+003  5.024E+003 -5.728E-001  1.609E-005 -1.430E-004  2.275E+007  9.405E-002  2.419E+008  7.194E+003  2.419E+008  0.000E+000  0.000E+000  0.000E+000  1.070E+009  5.767E+000  8.429E-001  6.468E+000  5.092E+000  2.732E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  7.722E+008  2.492E+007 -2.686E-004  1.255E-004 -5.469E-004 -5.728E-001
   81    0.04221  1.681E+001  9.328E+000  5.024E+003  5.024E+003 -5.863E-001  1.628E-005 -1.430E-004  2.302E+007  9.405E-002  2.447E+008  7.364E+003  2.447E+008  0.000E+000  0.000E+000  0.000E+000  1.020E+009  6.036E+000  8.429E-001  6.468E+000  5.092E+000  2.577E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  7.374E+008  2.514E+007 -2.686E-004  1.255E-004 -5.469E-004 -5.863E-001
   82    0.04513  1.720E+001  9.114E+000  5.024E+003  5.024E+003 -6.001E-001  1.647E-005 -1.430E-004  2.329E+007  9.405E-002  2.477E+008  7.537E+003  2.476E+008  0.000E+000  0.000E+000  0.000E+000  9.688E+008  6.309E+000  8.429E-001  6.468E+000  5.092E+000  2.428E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  7.006E+008  2.533E+007 -2.686E-004  1.255E-004 -5.469E-004 -6.001E-001
   83    0.04825  1.760E+001  8.906E+000  5.024E+003  5.024E+003 -6.141E-001  1.666E-005 -1.430E-004  2.357E+007  9.405E-002  2.506E+008  7.713E+003  2.506E+008  0.000E+000  0.000E+000  0.000E+000  9.201E+008  6.586E+000  8.429E-001  6.468E+000  5.092E+000  2.289E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  6.657E+008  2.552E+007 -2.686E-004  1.255E-004 -5.469E-004 -6.141E-001
   84    0.05159  1.802E+001  8.702E+000  5.024E+003  5.024E+003 -6.285E-001  1.685E-005 -1.430E-004  2.385E+007  9.405E-002  2.536E+008  7.893E+003  2.536E+008  0.000E+000  0.000E+000  0.000E+000  8.720E+008  6.867E+000  8.429E-001  6.468E+000  5.092E+000  2.156E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  6.308E+008  2.567E+007 -2.686E-004  1.255E-004 -5.469E-004 -6.285E-001
   85    0.05516  1.844E+001  8.504E+000  5.024E+003  5.024E+003 -6.431E-001  1.705E-005 -1.430E-004  2.413E+007  9.405E-002  2.566E+008  8.077E+003  2.566E+008  0.000E+000  0.000E+000  0.000E+000  8.258E+008  7.152E+000  8.429E-001  6.468E+000  5.092E+000  2.030E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  5.970E+008  2.580E+007 -2.686E-004  1.255E-004 -5.469E-004 -6.431E-001
   86    0.05897  1.886E+001  8.311E+000  5.024E+003  5.024E+003 -6.581E-001  1.725E-005 -1.430E-004  2.442E+007  9.405E-002  2.597E+008  8.265E+003  2.597E+008  0.000E+000  0.000E+000  0.000E+000  7.814E+008  7.440E+000  8.429E-001  6.468E+000  5.092E+000  1.912E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  5.643E+008  2.591E+007 -2.686E-004  1.255E-004 -5.469E-004 -6.581E-001
   87    0.06305  1.930E+001  8.122E+000  5.024E+003  5.024E+003 -6.734E-001  1.744E-005 -1.430E-004  2.471E+007  9.405E-002  2.628E+008  8.457E+003  2.628E+008  0.000E+000  0.000E+000  0.000E+000  7.383E+008  7.731E+000  8.429E-001  6.468E+000  5.092E+000  1.799E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  5.324E+008  2.596E+007 -2.686E-004  1.255E-004 -5.469E-004 -6.734E-001
