Mean quadratic charge as a function dwell time.
Temperature :      1.0 -  40000.0 eV
Density     : 1.00e+20m-3
   200     5  # Te values, dwell time

Source data:
acd : /home/adas/adas/adf11/acd96/acd96_ne.dat
scd : /home/adas/adas/adf11/scd96/scd96_ne.dat
plt : /home/adas/adas/adf11/plt96/plt96_ne.dat
prb : /home/adas/adas/adf11/prb96/prb96_ne.dat

Te[eV]
 1.384e-01 1.860e-01 2.448e-01 3.148e-01 3.947e-01 4.812e-01 5.695e-01 6.542e-01
 7.305e-01 7.961e-01 8.512e-01 8.983e-01 9.413e-01 9.854e-01 1.036e+00 1.096e+00
 1.171e+00 1.258e+00 1.355e+00 1.456e+00 1.553e+00 1.640e+00 1.716e+00 1.778e+00
 1.828e+00 1.869e+00 1.904e+00 1.935e+00 1.966e+00 2.002e+00 2.046e+00 2.103e+00
 2.176e+00 2.264e+00 2.365e+00 2.472e+00 2.582e+00 2.691e+00 2.799e+00 2.906e+00
 3.016e+00 3.129e+00 3.245e+00 3.363e+00 3.481e+00 3.600e+00 3.718e+00 3.837e+00
 3.959e+00 4.082e+00 4.207e+00 4.332e+00 4.455e+00 4.577e+00 4.696e+00 4.815e+00
 4.935e+00 5.057e+00 5.185e+00 5.318e+00 5.459e+00 5.607e+00 5.762e+00 5.921e+00
 6.083e+00 6.246e+00 6.406e+00 6.560e+00 6.706e+00 6.842e+00 6.965e+00 7.077e+00
 7.176e+00 7.263e+00 7.339e+00 7.406e+00 7.464e+00 7.515e+00 7.559e+00 7.599e+00
 7.634e+00 7.665e+00 7.692e+00 7.716e+00 7.738e+00 7.758e+00 7.775e+00 7.791e+00
 7.806e+00 7.820e+00 7.833e+00 7.846e+00 7.859e+00 7.873e+00 7.887e+00 7.902e+00
 7.919e+00 7.937e+00 7.958e+00 7.981e+00 8.007e+00 8.037e+00 8.069e+00 8.106e+00
 8.146e+00 8.189e+00 8.236e+00 8.287e+00 8.339e+00 8.395e+00 8.452e+00 8.510e+00
 8.568e+00 8.626e+00 8.683e+00 8.738e+00 8.791e+00 8.843e+00 8.891e+00 8.936e+00
 8.977e+00 9.014e+00 9.045e+00 9.069e+00 9.085e+00 9.096e+00 9.111e+00 9.139e+00
 9.185e+00 9.240e+00 9.289e+00 9.321e+00 9.343e+00 9.361e+00 9.376e+00 9.390e+00
 9.402e+00 9.414e+00 9.424e+00 9.434e+00 9.442e+00 9.447e+00 9.449e+00 9.445e+00
 9.435e+00 9.419e+00 9.401e+00 9.385e+00 9.374e+00 9.369e+00 9.370e+00 9.373e+00
 9.377e+00 9.380e+00 9.382e+00 9.382e+00 9.382e+00 9.381e+00 9.380e+00 9.379e+00
 9.377e+00 9.376e+00 9.375e+00 9.373e+00 9.371e+00 9.369e+00 9.367e+00 9.365e+00
 9.362e+00 9.359e+00 9.357e+00 9.354e+00 9.351e+00 9.348e+00 9.345e+00 9.342e+00
 9.338e+00 9.335e+00 9.332e+00 9.329e+00 9.326e+00 9.323e+00 9.319e+00 9.316e+00
 9.313e+00 9.309e+00 9.306e+00 9.302e+00 9.299e+00 9.296e+00 9.292e+00 9.288e+00
sqrt(<Z^2>) for tau[ms]=   10.0
 1.453e-02 2.378e-02 3.790e-02 5.888e-02 8.922e-02 1.318e-01 1.897e-01 2.653e-01
 3.587e-01 4.664e-01 5.795e-01 6.863e-01 7.770e-01 8.473e-01 8.986e-01 9.360e-01
 9.655e-01 9.939e-01 1.028e+00 1.077e+00 1.147e+00 1.242e+00 1.357e+00 1.483e+00
 1.603e+00 1.707e+00 1.789e+00 1.850e+00 1.894e+00 1.926e+00 1.948e+00 1.966e+00
 1.983e+00 2.001e+00 2.026e+00 2.063e+00 2.118e+00 2.196e+00 2.296e+00 2.414e+00
 2.537e+00 2.655e+00 2.763e+00 2.861e+00 2.953e+00 3.048e+00 3.148e+00 3.257e+00
 3.372e+00 3.489e+00 3.605e+00 3.719e+00 3.830e+00 3.942e+00 4.058e+00 4.179e+00
 4.304e+00 4.433e+00 4.561e+00 4.688e+00 4.815e+00 4.945e+00 5.080e+00 5.226e+00
