#ADAS data from Marco Sertoli
#T[keV]  Lz[W m^3]
4.77e+00  6.15e-33
4.98e+00  6.27e-33
5.19e+00  6.26e-33
5.41e+00  6.23e-33
5.64e+00  6.21e-33
5.88e+00  6.18e-33
6.13e+00  6.15e-33
6.39e+00  6.12e-33
6.66e+00  6.07e-33
6.95e+00  6.02e-33
7.24e+00  5.97e-33
7.55e+00  5.90e-33
7.87e+00  5.84e-33
8.21e+00  5.79e-33
8.56e+00  5.73e-33
8.92e+00  5.67e-33
9.30e+00  5.60e-33
9.70e+00  5.52e-33
1.01e+01  5.43e-33
1.05e+01  5.29e-33
1.10e+01  5.14e-33
1.15e+01  5.02e-33
1.19e+01  4.91e-33
1.25e+01  4.80e-33
1.30e+01  4.69e-33
1.35e+01  4.58e-33
1.41e+01  4.48e-33
1.47e+01  4.37e-33
1.53e+01  4.27e-33
1.60e+01  4.17e-33
1.67e+01  4.08e-33
1.74e+01  4.01e-33
1.81e+01  3.95e-33
1.89e+01  3.88e-33
1.97e+01  3.82e-33
2.05e+01  3.75e-33
2.14e+01  3.68e-33
2.23e+01  3.61e-33
2.33e+01  3.54e-33
2.43e+01  3.49e-33
2.53e+01  3.45e-33
2.64e+01  3.42e-33
2.75e+01  3.38e-33
2.87e+01  3.35e-33
2.99e+01  3.33e-33
3.11e+01  3.30e-33
3.25e+01  3.28e-33
3.39e+01  3.25e-33
3.53e+01  3.24e-33
3.68e+01  3.24e-33
3.84e+01  3.24e-33
4.00e+01  3.25e-33
