Mean charge during dwell time tau at ne=1E20m**-3 and Te[1-10000eV]
** <Z>
ne=1E20m**-3
     200           5 # of Te values, dwell times
Te[eV]
 1.989e+00 1.990e+00 1.992e+00 1.993e+00 1.993e+00 1.994e+00 1.995e+00 1.995e+00
 1.996e+00 1.996e+00 1.997e+00 1.997e+00 1.997e+00 1.997e+00 1.998e+00 1.998e+00
 1.998e+00 1.998e+00 1.998e+00 1.998e+00 1.999e+00 1.999e+00 1.999e+00 1.999e+00
 2.000e+00 2.001e+00 2.002e+00 2.005e+00 2.008e+00 2.014e+00 2.024e+00 2.036e+00
 2.048e+00 2.064e+00 2.086e+00 2.114e+00 2.149e+00 2.195e+00 2.251e+00 2.318e+00
 2.396e+00 2.449e+00 2.504e+00 2.561e+00 2.618e+00 2.674e+00 2.729e+00 2.782e+00
 2.833e+00 2.885e+00 2.937e+00 2.978e+00 3.015e+00 3.056e+00 3.099e+00 3.147e+00
 3.199e+00 3.255e+00 3.314e+00 3.377e+00 3.437e+00 3.482e+00 3.525e+00 3.568e+00
 3.609e+00 3.648e+00 3.685e+00 3.719e+00 3.745e+00 3.765e+00 3.783e+00 3.801e+00
 3.816e+00 3.831e+00 3.844e+00 3.856e+00 3.868e+00 3.878e+00 3.888e+00 3.896e+00
 3.901e+00 3.906e+00 3.911e+00 3.915e+00 3.920e+00 3.924e+00 3.927e+00 3.931e+00
 3.934e+00 3.937e+00 3.939e+00 3.941e+00 3.943e+00 3.944e+00 3.946e+00 3.948e+00
 3.949e+00 3.951e+00 3.952e+00 3.954e+00 3.954e+00 3.955e+00 3.956e+00 3.957e+00
 3.957e+00 3.958e+00 3.959e+00 3.959e+00 3.960e+00 3.961e+00 3.961e+00 3.961e+00
 3.961e+00 3.962e+00 3.962e+00 3.962e+00 3.962e+00 3.963e+00 3.963e+00 3.963e+00
 3.963e+00 3.963e+00 3.963e+00 3.963e+00 3.963e+00 3.963e+00 3.963e+00 3.963e+00
 3.963e+00 3.962e+00 3.962e+00 3.962e+00 3.962e+00 3.961e+00 3.961e+00 3.961e+00
 3.961e+00 3.961e+00 3.960e+00 3.960e+00 3.960e+00 3.959e+00 3.959e+00 3.959e+00
 3.958e+00 3.958e+00 3.957e+00 3.957e+00 3.957e+00 3.956e+00 3.956e+00 3.955e+00
 3.955e+00 3.954e+00 3.954e+00 3.953e+00 3.953e+00 3.952e+00 3.952e+00 3.951e+00
 3.951e+00 3.950e+00 3.950e+00 3.949e+00 3.949e+00 3.948e+00 3.947e+00 3.947e+00
Z for tau[ms]=   10.0
 9.839e-01 9.906e-01 9.967e-01 1.005e+00 1.018e+00 1.033e+00 1.055e+00 1.090e+00
 1.142e+00 1.217e+00 1.317e+00 1.438e+00 1.567e+00 1.687e+00 1.786e+00 1.859e+00
 1.894e+00 1.922e+00 1.942e+00 1.958e+00 1.969e+00 1.977e+00 1.983e+00 1.988e+00
 1.991e+00 1.993e+00 1.994e+00 1.995e+00 1.996e+00 1.997e+00 1.997e+00 1.998e+00
 1.998e+00 1.998e+00 1.999e+00 1.999e+00 1.999e+00 1.999e+00 1.999e+00 1.999e+00
 1.999e+00 1.999e+00 1.999e+00 2.000e+00 2.000e+00 2.000e+00 2.000e+00 2.000e+00
 2.000e+00 2.000e+00 2.000e+00 2.000e+00 2.001e+00 2.002e+00 2.004e+00 2.006e+00
 2.010e+00 2.017e+00 2.028e+00 2.046e+00 2.074e+00 2.118e+00 2.185e+00 2.256e+00
 2.323e+00 2.400e+00 2.484e+00 2.570e+00 2.654e+00 2.730e+00 2.798e+00 2.857e+00
 2.911e+00 2.943e+00 2.978e+00 3.016e+00 3.060e+00 3.112e+00 3.172e+00 3.243e+00
 3.324e+00 3.413e+00 3.505e+00 3.573e+00 3.630e+00 3.683e+00 3.731e+00 3.773e+00
 3.810e+00 3.842e+00 3.868e+00 3.891e+00 3.909e+00 3.920e+00 3.930e+00 3.938e+00
 3.946e+00 3.953e+00 3.959e+00 3.964e+00 3.968e+00 3.970e+00 3.973e+00 3.975e+00
 3.977e+00 3.979e+00 3.981e+00 3.983e+00 3.984e+00 3.986e+00 3.987e+00 3.988e+00
 3.989e+00 3.989e+00 3.990e+00 3.990e+00 3.991e+00 3.991e+00 3.992e+00 3.992e+00
 3.993e+00 3.993e+00 3.993e+00 3.993e+00 3.994e+00 3.994e+00 3.994e+00 3.994e+00
 3.994e+00 3.995e+00 3.995e+00 3.995e+00 3.995e+00 3.995e+00 3.995e+00 3.995e+00
 3.995e+00 3.995e+00 3.996e+00 3.996e+00 3.996e+00 3.996e+00 3.996e+00 3.996e+00
 3.996e+00 3.996e+00 3.996e+00 3.996e+00 3.996e+00 3.996e+00 3.996e+00 3.996e+00
 3.996e+00 3.996e+00 3.996e+00 3.996e+00 3.996e+00 3.996e+00 3.996e+00 3.996e+00
 3.996e+00 3.996e+00 3.996e+00 3.996e+00 3.996e+00 3.996e+00 3.996e+00 3.996e+00
 3.996e+00 3.996e+00 3.996e+00 3.996e+00 3.996e+00 3.996e+00 3.996e+00 3.996e+00
 3.996e+00 3.996e+00 3.996e+00 3.996e+00 3.996e+00 3.995e+00 3.995e+00 3.995e+00
 3.995e+00 3.995e+00 3.995e+00 3.995e+00 3.995e+00 3.995e+00 3.995e+00 3.995e+00
 3.995e+00 3.995e+00 3.995e+00 3.995e+00 3.995e+00 3.995e+00 3.995e+00 3.995e+00
Z for tau[ms]=  100.0
 9.882e-01 9.939e-01 9.996e-01 1.008e+00 1.024e+00 1.042e+00 1.071e+00 1.117e+00
 1.184e+00 1.277e+00 1.394e+00 1.525e+00 1.652e+00 1.761e+00 1.844e+00 1.901e+00
 1.928e+00 1.948e+00 1.963e+00 1.973e+00 1.981e+00 1.986e+00 1.990e+00 1.993e+00
 1.995e+00 1.996e+00 1.997e+00 1.998e+00 1.998e+00 1.998e+00 1.999e+00 1.999e+00
 1.999e+00 1.999e+00 1.999e+00 1.999e+00 1.999e+00 2.000e+00 2.000e+00 2.000e+00
 2.000e+00 2.000e+00 2.000e+00 2.000e+00 2.000e+00 2.000e+00 2.000e+00 2.000e+00
 2.000e+00 2.000e+00 2.000e+00 2.001e+00 2.003e+00 2.006e+00 2.010e+00 2.017e+00
 2.029e+00 2.049e+00 2.081e+00 2.130e+00 2.202e+00 2.301e+00 2.423e+00 2.527e+00
 2.604e+00 2.678e+00 2.744e+00 2.803e+00 2.855e+00 2.900e+00 2.943e+00 2.987e+00
 3.037e+00 3.076e+00 3.123e+00 3.181e+00 3.248e+00 3.325e+00 3.410e+00 3.498e+00
 3.584e+00 3.665e+00 3.737e+00 3.784e+00 3.821e+00 3.852e+00 3.879e+00 3.901e+00
 3.920e+00 3.935e+00 3.947e+00 3.958e+00 3.965e+00 3.970e+00 3.975e+00 3.978e+00
 3.982e+00 3.984e+00 3.986e+00 3.988e+00 3.990e+00 3.991e+00 3.992e+00 3.993e+00
 3.994e+00 3.994e+00 3.995e+00 3.995e+00 3.996e+00 3.996e+00 3.997e+00 3.997e+00
 3.997e+00 3.997e+00 3.998e+00 3.998e+00 3.998e+00 3.998e+00 3.998e+00 3.998e+00
 3.998e+00 3.998e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00
 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00
 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00
 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00
 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00
 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00
 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00
 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00
 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00
 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00
Z for tau[ms]= 1000.0
 9.886e-01 9.941e-01 9.998e-01 1.008e+00 1.025e+00 1.043e+00 1.073e+00 1.119e+00
 1.188e+00 1.283e+00 1.402e+00 1.534e+00 1.661e+00 1.768e+00 1.849e+00 1.905e+00
 1.931e+00 1.951e+00 1.965e+00 1.975e+00 1.982e+00 1.987e+00 1.991e+00 1.994e+00
 1.995e+00 1.996e+00 1.997e+00 1.998e+00 1.998e+00 1.998e+00 1.999e+00 1.999e+00
 1.999e+00 1.999e+00 1.999e+00 1.999e+00 1.999e+00 2.000e+00 2.000e+00 2.000e+00
 2.000e+00 2.000e+00 2.000e+00 2.000e+00 2.000e+00 2.000e+00 2.000e+00 2.000e+00
 2.000e+00 2.000e+00 2.001e+00 2.002e+00 2.004e+00 2.007e+00 2.012e+00 2.020e+00
 2.033e+00 2.056e+00 2.092e+00 2.147e+00 2.227e+00 2.334e+00 2.461e+00 2.565e+00
 2.641e+00 2.711e+00 2.774e+00 2.828e+00 2.876e+00 2.918e+00 2.959e+00 3.002e+00
 3.052e+00 3.093e+00 3.143e+00 3.203e+00 3.273e+00 3.353e+00 3.440e+00 3.529e+00
 3.614e+00 3.693e+00 3.762e+00 3.806e+00 3.840e+00 3.869e+00 3.894e+00 3.914e+00
 3.931e+00 3.944e+00 3.955e+00 3.964e+00 3.971e+00 3.975e+00 3.979e+00 3.982e+00
 3.985e+00 3.987e+00 3.989e+00 3.991e+00 3.992e+00 3.993e+00 3.994e+00 3.995e+00
 3.995e+00 3.996e+00 3.996e+00 3.997e+00 3.997e+00 3.997e+00 3.998e+00 3.998e+00
 3.998e+00 3.998e+00 3.998e+00 3.998e+00 3.998e+00 3.999e+00 3.999e+00 3.999e+00
 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00
 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00
 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00
 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00
 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00
 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00 3.999e+00 4.000e+00
 4.000e+00 4.000e+00 4.000e+00 4.000e+00 4.000e+00 4.000e+00 4.000e+00 4.000e+00
 4.000e+00 4.000e+00 4.000e+00 4.000e+00 4.000e+00 4.000e+00 4.000e+00 4.000e+00
 4.000e+00 4.000e+00 4.000e+00 4.000e+00 4.000e+00 4.000e+00 4.000e+00 4.000e+00
 4.000e+00 4.000e+00 4.000e+00 4.000e+00 4.000e+00 4.000e+00 4.000e+00 4.000e+00
